iteration,SMILES,TC,Modulus
16,*CC(*)(C)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,0.122,6.185
16,*CC(*)C1CC=CCC1,0.181,1.807
16,*CC(*)CCCCCCCCC,0.319,3.934
16,*C1C=CC(*)C1,0.279,4.661
17,*CCCCCCCCCCCCCCCCCCCCCC(=O)N*,0.433,5.0205
17,*CC(*)CCCCCCCCCCCCCC,0.341,4.164
17,*CC(CCCCCCCCCCCCCCCC)C1C(=O)N(CCCCCCCCCCCC)C(=O)C1*,0.335,4.284
17,*CC(*)CCCCCCCCCCCCCCCC,0.375,4.422
18,*CCCCCCCCCCN/C(C)=N/*,0.298,4.179
18,*CC(*)CCC,0.246,2.986
18,*c1sc(*)c(OCCCCCCCCCCCCCCCCCCCC)c1C,0.375,4.458
18,*CC(*)(F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.121,2.055
19,*CCCCc1nc2cc3nc(*)[nH]c3cc2[nH]1,0.413,8.362
19,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C=C2C(=O)N(C(=O)C2=C4)C2=CC(=C(C=C2)C2=CC=C(*)C=C2C(F)(F)F)C(F)(F)F)C2=C1C=C1OC3=C(OC1=C2)C=C1C(=O)N(*)C(=O)C1=C3,0.195,1.167
19,*CC(*)(C)C(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.11,3.166
19,CC1(C)CC(C)(C2C=C(*)C=CC12)C1=CC=C(C=C1)C1=NN=C(*)O1,0.209,4.043
20,*C1C(=O)OC(=O)C1*,0.143,6.161
20,*CC(C)(C)C1C(=O)N(C2CCCCC2)C(=O)C1*,0.186,3.748
20,*C1C(=O)N(C2CCCCC2)C(=O)C1*,0.149,1.834
20,*\C=C\C1CC(*)C2C1C(=O)N(C1CCCC1)C2=O,0.238,5.105
21,CC(C)CC(*)=C(C)*,0.172,2.164
21,*CC(*)CCCCCCCCCCC,0.321,3.972
21,*CC(*)CCCCCCCCCCCCC,0.338,4.292
21,*c1cc(CCCCCCCCCCCCCCCCCC)c(*)s1,0.365,4.582
22,*CC(*)c1cc(C(C)C)ccc1C(C)C,0.162,2.642
22,CC1CC(*)C(Br)C(C)C1O*,0.136,4.76
22,*CC(*)c1cc(C(C)(C)C)ccc1C,0.164,3.677
22,*N1C(=O)C2=C(C=C3SC4=C(SC3=C2)C=C2C(=O)N(C(=O)C2=C4)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C1=O,0.27,6.787
23,*c1ccc2c(c1)C(CCCCCC)(CCCCCC)c1cc(-c3cc(CCCCCCCCCC)c(*)cc3CCCCCCCCCC)ccc1-2,0.216,4.09
23,CCC(C)OC(=O)C(*)C(*)C(=O)OC(C)C,0.161,2.903
23,*CCCCCCCCCCCCCCCCCCCCC(*)Cl,0.489,4.76
23,*c1nc2cc(-c3ccc4[nH]c(-c5ccc(*)o5)nc4c3)ccc2[nH]1,0.446,8.647
24,*CCCCCC(*)CCCCCCCCCCCCCC,0.403,4.634
24,*CCCCCC(*)CCCCCCCC,0.382,4.157
24,*c1nc2cc3sc(-c4cc(OCCCCCCCCCCCC)c(*)cc4OCCCCCCCCCCCC)nc3cc2s1,0.365,7.071
24,*CC(*)C=C(C)C,0.198,3.295
25,*CCc1ccc(*)o1,0.279,3.636
25,*CC(*)C=O,0.243,5.496
25,*/C=C/C=C/C=C/c1cc(CCCCCCC)c(*)cc1CCCCCCC,0.269,4.149
25,*/C=C/C(C*)CCC,0.218,3.904
26,FC(F)(F)C(C1CC=C(*)C=C1)(C1=CC=C(C=C1)C1=NN=C(*)O1)C(F)(F)F,0.157,4.187
26,CCC(C)OC(=O)C(*)C(*)C(=O)OC(C)(C)C,0.146,1.851
26,*CC(*)C(=O)OC(CCC(CC)CCCC)CC(C)C,0.232,3.842
26,CC1=CC(=C2C=CC=CC2=C1*)C1=C2C=CC=CC2=C(N2C(=O)C3=CC4=C(OC5=C(O4)C=C4C(=C5)C5(C)CCC4(C)C4=C5C=C5OC6=C(OC5=C4)C=C4C(=O)N(*)C(=O)C4=C6)C=C3C2=O)C(C)=C1,0.134,3.023
27,[H]C1=C([H])C2([H])C3C(C(=O)N(*)C3=O)C1([H])C1C2C(=O)N(C1=O)C1=CC2=C(C=C1O)C1(CC(C)(C)C3=C1C=C(O)C(*)=C3)CC2(C)C,0.189,2.324
27,*CC(C)(C)C1C(=O)N(C)C(=O)C1*,0.176,4.541
27,*CC(*)c1c(F)c(F)c(F)c(F)c1F,0.103,5.839
27,*CC(*)c1c(F)c(F)c(C(F)(F)F)c(F)c1F,0.101,5.665
28,*c1cc(CCCCCCCCCCCC)c(*)cc1CCCCCCCCCCCC,0.356,4.044
28,CC1(C)CC2(CC(C)(C)C3=CC=C(OC(=O)O*)C=C23)C2C=C(*)C=CC12,0.161,2.646
28,*/C=C/CCCCCCCCCC*,0.414,4.116
28,*/C=C/c1sc(*)c(OCCCCCCCCCCCC)c1OCCCCCCCCCCCC,0.365,4.041
29,*/C=C/CCCCCCCCCC(Cl)CCCCCCCCC*,0.342,4.274
29,*CCCC*,0.637,4.654
29,*CCC*,0.456,4.538
29,*/C=C/CCCCCCCCCC*,0.376,4.049
30,*CC*,0.586,5.176
30,*CC(C)C(*)(C)C,0.203,2.87
30,*CC1(*)CCCCC1,0.144,3.672
30,*CC(*)C#N,0.207,4.504
31,*C1=CC2=C(OC3=CC(=CC=C3O2)C2(C3=C(C=CC=C3)C3=C2C=CC=C3)C2=CC3=C(OC4=C(O3)C=CC(*)=C4)C=C2)C=C1,0.28,2.066
31,*CC(*)OC(=O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.092,2.645
31,*CC(*)CCCN(CC(C)C)CC(C)C,0.201,3.884
31,*C(=O)N(*)CCCCCCCCCCCCCCCCCC,0.408,4.576
32,*CC(*)C,0.245,3.77
32,*CC(*)CC,0.225,3.255
32,CC(*)C*,0.23,3.933
32,CCCCCCCCCCCCC1=C(*)SC(*)=C1,0.435,4.77
33,*CCCCCCCCCCCCCCC(*)Cl,0.374,4.858
33,*CC(*)CC(C)C,0.208,2.961
33,*/C=C/CCCCCCCC*,0.357,3.862
33,*/C=C/CCCCC*,0.314,3.728
34,*C\C=C/C*,0.247,3.189
34,*CC1CC(*)OCO1,0.221,5.209
34,*CCC([2H])C(*)([2H])C,0.333,4.637
34,*CCC1CCC(*)C1,0.38,6.078
35,*/C=C/*,0.315,2.988
35,*c1cc(CCCCCCCCCCCCCCC)c(*)s1,0.374,4.947
35,*/C=C/*,0.211,3
35,*CC(*)c1ccc(C(C)C)cc1C(C)C,0.198,2.743
36,*CCCC(*)(C)C,0.236,4.409
36,*CCN(*)C(=O)CCCCCCCCCCCCCCCCC,0.424,4.873
36,*CCC(*)(C)C,0.196,4.013
36,*CCCN*,0.354,5.436
37,*CCCCCCCCCCCCCCC(=O)N*,0.389,5.081
37,*/C=C/CC*,0.249,3.239
37,*CC(*)C(=O)N(CCCC)CCCC,0.211,3.303
37,*CC(*)CCCCCCCCCC,0.336,3.622
38,*c1cc(CCCCCCCCCCCCC)c(*)s1,0.405,5.229
38,*c1cc(CCCCCCCCCCCCCC)c(*)s1,0.442,5.343
38,*/C=C/CC*,0.272,3.204
38,*/C=C/CCCCCCCC*,0.381,3.866
39,*CC(*)C(=O)NC(C)CC,0.244,3.321
39,*c1cc(CCCCCC)c(*)cc1CCCCCC,0.327,4.744
39,*CC(*)C(=O)NC(C)C,0.203,3.771
39,*CC(*)C(C)C,0.187,3.293
40,*CCCC=C*,0.273,3.691
40,*CC(*)(C)C,0.213,2.771
40,*CC(*)(C)CC,0.17,2.663
40,*CCCC(*)(C)CC,0.234,4.176
41,*CC(*)C1CC1,0.218,3.639
41,*CC(*)c1ccc(C=C)cc1,0.248,3.19
41,*CCCCCCN(C)C(=O)CCCCCCCCCCCCCCCCC(=O)N(*)C,0.346,4.764
41,*CC(*)CC1CCCCC1,0.226,3.834
